case_id,rtc_id,observed_route_class,user_node,final_answer_node,ablated_stage,before_answer_hash,after_answer_hash,exact_answer_preserved
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,835,839,CHECKING,dfbd2349f25665cf,dfbd2349f25665cf,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,835,839,THOUGHTS,dfbd2349f25665cf,dfbd2349f25665cf,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,835,839,REASONING_RECAP,dfbd2349f25665cf,dfbd2349f25665cf,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,842,846,CHECKING,cd3acec20bfbd888,cd3acec20bfbd888,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,842,846,THOUGHTS,cd3acec20bfbd888,cd3acec20bfbd888,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,842,846,REASONING_RECAP,cd3acec20bfbd888,cd3acec20bfbd888,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,849,854,WORK_STATUS,22a54f796e459546,22a54f796e459546,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,849,854,PREAMBLE,22a54f796e459546,22a54f796e459546,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,849,854,THOUGHTS,22a54f796e459546,22a54f796e459546,1
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,OBSROUTE-7d0e1d5d40,849,854,REASONING_RECAP,22a54f796e459546,22a54f796e459546,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,365,367,CHECKING,f7b19afcde965ea4,f7b19afcde965ea4,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,370,372,CHECKING,df0478beed1608d0,df0478beed1608d0,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,379,381,WORK_STATUS,46989629f470664b,46989629f470664b,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,403,405,WORK_STATUS,2b9a3835ef69f1dc,2b9a3835ef69f1dc,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,406,408,WORK_STATUS,7c9a15961c074f1b,7c9a15961c074f1b,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,409,411,CHECKING,7aa6762e8f97a375,7aa6762e8f97a375,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,412,414,CHECKING,6e5878c50b17a5a1,6e5878c50b17a5a1,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,469,471,WORK_STATUS,e40472deeed71351,e40472deeed71351,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,484,486,CHECKING,9a6387a4416f73a8,9a6387a4416f73a8,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,575,577,CHECKING,533404a0baeb2617,533404a0baeb2617,1
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,OBSROUTE-e6601b7eec,595,597,CHECKING,8877085b07926dd2,8877085b07926dd2,1
